pool_name,borough,avg_attendance
Astoria,Queens,788.0
McCarren Park,Brooklyn,620.0
Sunset Park,Brooklyn,381.0
Crotona,Bronx,289.0
Highbridge,Manhattan,262.0
Hamilton Fish,Manhattan,261.0
Kosciuszko,Brooklyn,260.0
Red Hook,Brooklyn,248.0
Fisher,Queens,235.0
John Jay,Manhattan,223.0
Van Cortlandt,Bronx,214.0
Betsy Head,Brooklyn,207.0
Jackie Robinson,Manhattan,189.0
Thomas Jefferson,Manhattan,170.0
Marcus Garvey,Manhattan,168.0
Douglas and DeGraw,Brooklyn,157.0
Foster,Bronx,151.0
Floating,Bronx,145.0
Haffen,Bronx,126.0
Totten,Queens,125.0
Liberty,Queens,111.0
Claremont,Bronx,107.0
Mapes,Bronx,107.0
Lyons,Staten Island,102.0
Commodore Barry,Brooklyn,98.0
Faber,Staten Island,97.0
Asser Levy,Manhattan,94.0
Windmuller Mini,Queens,93.0
Dry Dock,Manhattan,91.0
Tottenville,Staten Island,90.0
JHS 57 / HS 26 Mini,Brooklyn,79.0
Sheltering Arms,Manhattan,78.0
Wagner,Manhattan,75.0
Howard,Brooklyn,70.0
PS 20 Playground Mini,Brooklyn,60.0
Bushwick,Brooklyn,59.0
West Brighton,Staten Island,53.0
Lindower Park Mini,Brooklyn,44.0
Marie Curie Park Mini,Queens,40.0
Vesuvio Mini,Manhattan,38.0
PS 186 Playground Mini,Queens,35.0
Abe Lincoln Mini,Manhattan,34.0
David Fox / PS 251 Mini,Brooklyn,33.0
Edenwald Houses Mini,Bronx,32.0
Frederick Douglass Mini,Manhattan,32.0
Thompson Mini,Bronx,28.0
Tompkins Square Mini,Manhattan,27.0
PS 14 Playground Mini,Staten Island,22.0
PS 46 Playground Mini,Staten Island,19.0
Glenwood Houses Mini,Brooklyn,18.0
Gen. Douglas MacArthur Mini,Staten Island,13.0
